2026-01-13 15:11:58,244 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=off | setups=on
2026-01-13 15:45:43,600 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.25%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 765
2026-01-13 15:46:14,497 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.33%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:46:45,425 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.19%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 765
2026-01-13 15:47:16,327 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.29%, funding +0.000059, width~1.14% |  | Funding: +0.000059 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:47:47,241 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.37%, funding +0.000059, width~1.14% |  | Funding: +0.000059 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:48:18,141 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.31%, funding +0.000058, width~1.14% |  | Funding: +0.000058 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:48:49,036 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.27%, funding +0.000058, width~1.14% |  | Funding: +0.000058 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 822 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:49:19,936 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.15%, funding +0.000058, width~1.14% |  | Funding: +0.000058 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 822 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:49:50,855 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.10%, funding +0.000058, width~1.14% |  | Funding: +0.000058 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 822 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:50:21,771 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.15%, funding +0.000058, width~1.14% |  | Funding: +0.000058 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 822 – 92 888 | Lower zone: 91 701 – 91 767
2026-01-13 15:50:52,674 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.12%, funding +0.000058, width~1.14% |  | Funding: +0.000058 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 822 – 92 888 | Lower zone: 91 701 – 91 767
2026-01-13 15:51:23,591 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.23%, funding +0.000057, width~1.14% |  | Funding: +0.000057 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 821 – 92 888 | Lower zone: 91 701 – 91 767
2026-01-13 15:51:54,504 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.24%, funding +0.000057, width~1.14% |  | Funding: +0.000057 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 821 – 92 888 | Lower zone: 91 701 – 91 768
2026-01-13 15:52:25,407 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.31%, funding +0.000057, width~1.14% |  | Funding: +0.000057 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 768
2026-01-13 15:52:45,343 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=on | setups=on | setup_symbols=ETHUSDT,SOLUSDT,ZECUSDT | alt_enabled_btc_regimes=DELEVERAGING,LONG_UNWIND,RANGE,SHORT_SQUEEZE
2026-01-13 15:52:46,899 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.22%, funding +0.000057, width~1.14% |  | Funding: +0.000057 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:53:16,291 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.11%, funding +0.000056, width~1.14% |  | Funding: +0.000056 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:53:46,321 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.01%, funding +0.000056, width~1.13% |  | Funding: +0.000056 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:54:16,351 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.14%, funding +0.000056, width~1.14% |  | Funding: +0.000056 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:54:46,355 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.32%, funding +0.000056, width~1.14% |  | Funding: +0.000056 | OIΔ(15m): +447.28 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:55:16,394 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.39%, funding +0.000056, width~1.14% |  | Funding: +0.000056 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:55:46,405 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.30%, funding +0.000056, width~1.14% |  | Funding: +0.000056 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:56:16,420 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.26%, funding +0.000055, width~1.14% |  | Funding: +0.000055 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:56:46,450 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.32%, funding +0.000055, width~1.14% |  | Funding: +0.000055 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:57:16,472 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.36%, funding +0.000055, width~1.14% |  | Funding: +0.000055 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:57:46,816 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.35%, funding +0.000055, width~1.14% |  | Funding: +0.000055 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:58:16,527 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.32%, funding +0.000055, width~1.14% |  | Funding: +0.000055 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:58:46,561 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.33%, funding +0.000055, width~1.14% |  | Funding: +0.000055 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:59:16,589 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.16%, funding +0.000054, width~1.14% |  | Funding: +0.000054 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 15:59:46,609 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.21%, funding +0.000054, width~1.14% |  | Funding: +0.000054 | OIΔ(15m): +240.07 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 16:00:16,646 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.38%, funding +0.000053, width~1.14% |  | Funding: +0.000053 | OIΔ(15m): +81.43 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 16:00:46,960 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.31%, funding +0.000053, width~1.14% |  | Funding: +0.000053 | OIΔ(15m): +81.43 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
2026-01-13 16:01:16,684 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m -0.23%, funding +0.000053, width~1.14% |  | Funding: +0.000053 | OIΔ(15m): +81.43 (Bybit) |  | Upper zone: 92 820 – 92 888 | Lower zone: 91 701 – 91 769
